ID,oma,panther,inspector,score
B7PH72,1,1,1,3
F7DPZ1,1,1,1,3
G3RH83,1,1,1,3
H2M6F0,1,1,1,3
G3N3P0,1,1,1,3
Q921C5,1,1,1,3
F6U254,1,1,1,3
Q496Z1,1,1,1,3
F6PIY7,1,1,1,3
F6X7P3,1,1,1,3
W5N9R0,1,1,1,3
H9G5B1,1,1,1,3
E3N415,1,0,1,2
T1F3T0,0,1,1,2
G1PLU3,1,0,1,2
A0A3Q2TSJ9,0,1,1,2
M3XLQ0,1,0,1,2
A0A1S3FZ92,1,0,1,2
A0A5F5XLE2,1,1,0,2
H0WL58,1,0,1,2
H2PSP8,1,0,1,2
W5PEC2,1,0,1,2
G3UHE4,1,0,1,2
A0A2K5HPQ3,1,0,1,2
G3WYI6,1,0,1,2
A0A286XTY8,1,0,1,2
Q5TNU2,0,1,1,2
A0A0D9R4A5,1,0,1,2
V6CJ04,0,1,1,2
E9HF24,0,1,1,2
A0A3B5QWW2,1,0,1,2
A0A2K5MV07,1,0,1,2
M3XZI8,1,0,1,2
A0A287AJT8,0,1,1,2
P16568,0,1,1,2
C3YN80,0,1,1,2
A0A096ME17,1,0,1,2
A0A5F7ZWW2,1,1,0,2
A0A2K6E709,1,0,1,2
G1SZW5,1,0,1,2
G1M4N7,1,0,1,2
G1S3E3,1,0,1,2
A0A3Q7RDD7,1,0,1,2
A0A287CW43,1,0,1,2
D6WU88,0,1,1,2
K7F5V1,1,0,1,2
A0A2K6PZY9,1,0,1,2
A0A2K5XQC5,1,0,1,2
C3YLJ7,0,1,1,2
A0A493TDC9,1,0,1,2
A0A2K5RC54,1,0,1,2
A8WZT7,0,1,1,2
A0A8J0R3Z3,1,1,0,2
A0A2I3TMN5,0,1,1,2
A0A2K6K773,1,0,1,2
U3JX64,1,0,1,2
A0A195EW12,0,0,1,1
A0A3Q0DPP9,0,0,1,1
A0A1S3DA60,0,0,1,1
A0A8I5NTK6,1,0,0,1
A0A384A5E9,0,0,1,1
E2A8B5,0,0,1,1
A0A0Q3R3V0,0,0,1,1
A0A151ICA5,0,0,1,1
T1IM96,0,0,1,1
A0A8D0G9L7,1,0,0,1
A0A3B0L0V3,0,0,1,1
A0A1I7VVY1,0,0,1,1
A0A3Q4IC86,1,0,0,1
A0A8M3B5A4,0,1,0,1
A0A0L7RG73,0,0,1,1
A0A3Q3XHA7,1,0,0,1
A0A0N5DS28,0,0,1,1
A0A493TRU9,1,0,0,1
A0A1X7VR81,0,0,1,1
A0A669EWE9,1,0,0,1
ENSGAFG00000015864.1,1,0,0,1
F4WVA7,0,0,1,1
B4KHC2,0,0,1,1
A0A182YHB5,0,0,1,1
A0A267E033,0,0,1,1
A0A8I3PLZ6,0,1,0,1
XP_038628039,1,0,0,1
A0A0V1B277,0,0,1,1
A0A0M8ZV35,0,0,1,1
A0A0K0CXC8,0,0,1,1
A0A2R9B6W5,0,0,1,1
A0A226PSG8,0,0,1,1
J9JZ02,0,0,1,1
H9JSX9,0,0,1,1
A0A158PI18,0,0,1,1
A0A218UH06,0,0,1,1
ENSMFAG00000040610.1,1,0,0,1
A0A2A3E8G2,0,0,1,1
G4V629,0,0,1,1
A0A0N5CUS9,0,0,1,1
A0A2U3VGB6,0,0,1,1
A0A452FM02,1,0,0,1
A0A3P9NX11,1,0,0,1
A0A182E2W6,0,0,1,1
B4I5A8,0,0,1,1
A0A2A2JPV1,0,0,1,1
A0A2K6ETR7,1,0,0,1
A0A340Y779,0,0,1,1
A0A267H8Q5,0,0,1,1
A0A158RDQ7,0,0,1,1
A0A2G8KXF3,0,0,1,1
Q17BK6,0,0,1,1
A0A2K6ETP5,0,0,1,1
A0A3B4CRA6,1,0,0,1
A0A3Q2X4E4,1,0,0,1
A0A2Y9KFZ6,0,0,1,1
A0A3M0JMG5,0,0,1,1
A0A1V4JVR6,0,0,1,1
A7RT63,0,0,1,1
A0A3S2M4U0,0,0,1,1
A0A8B9LVH6,1,0,0,1
A0A8M2B1W9,0,1,0,1
A0A210R0P2,0,0,1,1
A0A3B1JKI1,0,0,1,1
A0A194QVL5,0,0,1,1
XP_010582681,1,0,0,1
A0A669P294,1,0,0,1
A0A8R1U5G2,0,1,0,1
A0A158PXX4,0,0,1,1
A0A2D0QZE6,0,0,1,1
A0A8C0IWM8,1,0,0,1
A0A2U3Z3M6,0,0,1,1
I3KKN9,0,0,1,1
A0A1D1V1M6,0,0,1,1
G3N474,0,0,1,1
A0A2U9C2Q0,0,0,1,1
A0A2B4S5R4,0,0,1,1
XP_004944615,1,0,0,1
A0A2K6W3J5,0,0,1,1
A0A2K6TN32,1,0,0,1
A0A1D2NHY5,0,0,1,1
XP_040263630,1,0,0,1
A0A226NDG4,0,0,1,1
A0A8D0E1Y2,1,0,0,1
A0A8C5BWL9,1,0,0,1
A0A0N5BEF1,0,0,1,1
A0A0N4ZE93,0,0,1,1
A0A091CUH6,0,0,1,1
A0A1S3MCV5,1,0,0,1
A0A0K0FQR6,0,0,1,1
B4GQC4,0,0,1,1
W4YQ82,0,0,1,1
ENSCGRG00000010103.1,1,0,0,1
A0A8C5UYX2,1,0,0,1
A0A3P8TB97,1,0,0,1
A0A914AFJ3,1,0,0,1
M3WRZ8,0,0,1,1
A0A7N5P4K4,1,0,0,1
A0A803VM33,1,0,0,1
A0A2J7RHC6,0,0,1,1
ENSTSYG00000032613.1,1,0,0,1
A0A8C6Q2M4,1,0,0,1
R7TYQ8,0,0,1,1
A0A3Q0R481,1,0,0,1
G7NX28,0,0,1,1
A0A261CBD4,0,0,1,1
A0A8B7ZK25,1,0,0,1
A0A9D3RPM9,1,0,0,1
ENSCAPG00000017843.1,1,0,0,1
W6UDP4,0,0,1,1
I3NF79,1,0,0,1
A0A026WQY3,0,0,1,1
A0A0V1B3J2,0,0,1,1
A0A151WJS1,0,0,1,1
B3MMI0,0,0,1,1
A0A665VZP9,1,0,0,1
A0A4W3IFU2,1,0,0,1
A0A1S3P6B7,0,0,1,1
T1G2T0,0,1,0,1
A0A671VWL6,1,0,0,1
T1FVX9,0,1,0,1
F6QN54,0,0,1,1
